group;group_#;viability_pct;hladr_pct;cd19_pct;cd8_pct;cd4_pct
a;2;91.0;27.200000000000003;20.400000000000002;12.15;15.0
a;8;90.0;29.200000000000003;25.8;14.2;16.900000000000002
a;7;90.39999999999999;27.6;21.400000000000002;14.2;17.900000000000002
a;6;91.3;28.0;21.400000000000002;11.51;14.6
a;5;90.89999999999999;25.200000000000003;21.400000000000002;13.5;15.9
a;4;88.89999999999999;25.8;16.3;15.1;17.6
a;3;90.3;24.400000000000002;17.0;12.549999999999999;14.7
a;1;90.1;25.700000000000003;21.1;12.7;14.799999999999999
b;1;91.5;25.900000000000002;21.900000000000002;12.43;14.6
b;7;90.3;27.700000000000003;21.0;10.66;14.0
b;6;89.5;33.5;27.700000000000003;14.4;16.400000000000002
b;5;91.1;27.1;23.3;18.6;20.0
b;4;91.8;28.8;17.7;12.4;14.6
b;3;93.19999999999999;24.700000000000003;13.2;10.32;12.9
b;2;93.5;23.900000000000002;18.1;10.15;12.45
b;8;90.1;30.6;25.3;12.9;16.1
c;7;88.6;33.1;29.1;13.4;16.1
c;8;89.89999999999999;24.200000000000003;21.6;17.400000000000002;21.200000000000003
c;6;91.5;28.0;23.3;10.47;13.299999999999999
c;5;90.5;27.0;23.400000000000002;12.6;15.0
c;3;92.6;23.700000000000003;16.0;11.15;12.24
c;2;91.39999999999999;23.900000000000002;18.3;10.85;13.7
c;1;88.89999999999999;26.8;22.400000000000002;14.9;16.2
c;4;91.1;24.400000000000002;16.1;11.35;13.7
d;7;95.19999999999999;28.6;15.4;11.61;15.4
d;1;93.39999999999999;21.1;16.8;13.299999999999999;15.299999999999999
d;2;92.39999999999999;24.0;18.3;12.56;15.0
d;3;91.89999999999999;25.1;17.2;13.2;15.0
d;4;86.39999999999999;32.1;30.900000000000002;18.900000000000002;19.1
d;5;91.69999999999999;23.8;13.799999999999999;9.58;11.67
d;6;90.1;27.3;20.8;11.53;14.7
d;8;91.6;25.8;26.400000000000002;14.5;18.700000000000003
e;7;87.89999999999999;26.700000000000003;21.400000000000002;14.799999999999999;16.7
e;6;87.69999999999999;32.6;28.700000000000003;21.8;20.1
e;5;89.6;27.5;17.5;15.6;18.2
e;8;91.3;29.400000000000002;31.5;14.5;15.6
e;3;90.89999999999999;27.8;22.700000000000003;12.299999999999999;16.1
e;2;91.6;25.6;19.200000000000003;13.9;14.799999999999999
e;1;93.0;24.0;16.8;12.01;12.799999999999999
e;4;90.89999999999999;27.0;17.8;10.51;13.7
e;9;90.69999999999999;23.700000000000003;21.8;12.53;14.299999999999999
